RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,balance_salary_ratio,products_per_year,age_group,engagement_score,credit_score_band,is_zero_balance,high_value_customer,tenure_stability,age_tenure_ratio,inactive_high_balance,clv_estimated,Exited
1015,10443409,382,0,0,24,3,0.0,1,0,0,116442.35,0.0,0.25,0,0.075,0,1,0,1,6.0,0,5000.0,0
1016,18506884,569,0,0,86,2,212667.04,2,1,0,74491.61,2.8548743291448644,0.6666666666666666,3,0.35,0,0,0,0,28.666666666666668,1,3631.5,1
1017,16459340,504,1,1,45,2,0.0,2,0,1,97769.2,0.0,0.6666666666666666,1,0.65,0,1,0,0,15.0,0,4763.43,0
1018,14315187,763,2,1,76,8,28394.3,1,1,1,104126.78,0.27268707735822273,0.1111111111111111,3,0.775,3,0,0,2,8.444444444444445,0,5000.0,0
1019,13828397,468,0,1,50,5,243466.36,2,0,1,109808.12,2.2171779538894403,0.3333333333333333,2,0.65,0,0,0,1,8.333333333333334,0,5000.0,0
1020,14162624,481,0,0,48,7,67098.29,1,0,0,44960.92,1.4923359589626064,0.125,2,0.075,0,0,0,2,6.0,1,2525.77,0
1021,12791372,591,2,1,90,6,0.0,2,0,1,12469.47,0.0,0.2857142857142857,3,0.65,1,1,0,2,12.857142857142858,0,775.26,0
1022,17679394,406,1,0,82,5,8136.55,1,1,1,118890.26,0.06843690612749836,0.16666666666666666,3,0.775,0,0,0,1,13.666666666666666,0,5000.0,1
1023,14135828,773,2,0,56,5,67842.69,1,1,1,67718.44,1.0018200091436078,0.16666666666666666,2,0.775,3,0,0,1,9.333333333333334,0,3413.95,0
1024,16965087,306,1,0,52,4,0.0,1,1,0,22270.49,0.0,0.2,2,0.275,0,1,0,1,10.4,0,1058.3,0
1025,15909354,766,1,1,76,2,215559.19,1,1,0,81365.24,2.649246050942012,0.3333333333333333,3,0.275,3,0,0,0,25.333333333333332,1,3400.22,1
1026,18142944,643,0,0,69,9,0.0,1,0,1,197839.14,0.0,0.1,3,0.575,1,1,0,2,6.9,0,5000.0,0
1027,18700103,789,2,1,91,4,80465.2,1,1,0,127426.46,0.6314588707959806,0.2,3,0.275,3,0,0,1,18.2,1,5000.0,0
1028,18334829,461,0,0,42,9,197933.31,2,0,1,147380.21,1.3430023406647293,0.2,1,0.65,0,0,0,2,4.2,0,5000.0,0
1029,15594638,796,1,1,26,8,203464.73,1,0,1,170307.71,1.194681880920829,0.1111111111111111,0,0.575,3,0,1,2,2.888888888888889,0,5000.0,0
1030,11671539,775,0,0,32,6,0.0,1,1,1,138578.5,0.0,0.14285714285714285,1,0.775,3,1,0,2,4.571428571428571,0,5000.0,0
1031,18393080,551,1,1,57,9,0.0,1,1,1,93671.15,0.0,0.1,2,0.775,0,1,0,2,5.7,0,5000.0,0
1032,11428318,456,1,1,41,7,129833.12,2,0,0,174915.77,0.7422565600771156,0.25,1,0.15,0,0,0,2,5.125,1,5000.0,1
1033,11559157,408,1,0,78,8,0.0,2,1,1,67980.89,0.0,0.2222222222222222,3,0.85,0,1,0,2,8.666666666666666,0,4682.58,1
1034,14376222,383,2,1,83,8,204119.24,2,0,0,58340.7,3.498685160014192,0.2222222222222222,3,0.15,0,0,0,2,9.222222222222221,1,4020.59,1
1035,12897380,621,0,0,32,7,180078.39,2,1,1,59366.5,3.033282351454921,0.25,1,0.85,1,0,0,2,4.0,0,3891.67,0
1036,15834261,829,1,0,92,7,213099.18,2,0,1,76331.05,2.7917392497646794,0.25,3,0.65,4,0,0,2,11.5,0,5000.0,0
1037,18353996,611,0,1,65,8,0.0,1,1,1,157694.83,0.0,0.1111111111111111,3,0.775,1,1,0,2,7.222222222222222,0,5000.0,0
1038,11170898,831,0,1,37,2,197432.11,2,0,0,30504.27,6.472065646362087,0.6666666666666666,1,0.15,4,0,0,0,12.333333333333334,1,1488.43,0
1039,13560644,716,0,0,33,9,196192.28,1,1,1,109442.9,1.7926287349043666,0.1,1,0.775,2,0,0,2,3.3,0,5000.0,0
1040,12983539,677,0,0,30,5,236390.42,2,0,0,124068.21,1.9053109147708767,0.3333333333333333,0,0.15,2,0,0,1,5.0,1,5000.0,0
1041,11934894,699,0,0,53,1,153325.69,2,0,1,186762.24,0.8209628939827774,1.0,2,0.65,2,0,0,0,26.5,0,5000.0,0
1042,17389142,811,1,1,23,1,0.0,1,1,1,82967.65,0.0,0.5,0,0.775,4,1,0,0,11.5,0,3226.06,0
1043,18517867,772,1,0,27,8,201328.51,1,0,0,100722.14,1.9988307552762952,0.1111111111111111,0,0.075,3,0,0,2,3.0,1,5000.0,0
1044,16962725,389,1,1,74,8,0.0,1,1,0,140756.19,0.0,0.1111111111111111,3,0.275,0,1,0,2,8.222222222222221,0,5000.0,0
1045,10211655,622,0,0,54,7,143603.28,2,0,0,41449.14,3.4644823877555058,0.25,2,0.15,1,0,0,2,6.75,1,2717.36,0
1046,16266331,553,0,0,57,7,183774.46,1,0,1,87426.49,2.102021458010518,0.125,2,0.575,0,0,0,2,7.125,0,4911.85,0
1047,16806363,784,0,0,42,9,30349.37,1,0,0,16029.83,1.8931876889718124,0.1,1,0.075,3,0,0,2,4.2,0,993.13,0
1048,12066107,412,2,1,59,10,134992.36,2,1,0,10344.85,13.047971892111327,0.18181818181818182,2,0.35,0,0,0,2,5.363636363636363,1,783.48,0
1049,13715917,751,2,1,43,9,0.0,2,1,1,90654.47,0.0,0.2,1,0.85,3,1,0,2,4.3,0,5000.0,0
1050,10140401,563,0,1,21,1,63874.0,2,0,1,165068.34,0.3869525376426658,1.0,0,0.65,0,0,0,0,10.5,0,5000.0,1
1051,16201459,813,1,1,60,8,124160.87,2,0,0,82951.07,1.4967784408514457,0.2222222222222222,2,0.15,4,0,0,2,6.666666666666667,1,5000.0,0
1052,19664944,735,0,1,24,5,80197.85,2,1,0,115092.19,0.6968079518866408,0.3333333333333333,0,0.35,2,0,0,1,4.0,1,5000.0,1
1053,13971877,490,0,0,69,8,193917.03,1,1,1,99537.16,1.9481677177878312,0.1111111111111111,3,0.775,0,0,0,2,7.666666666666667,0,5000.0,0
1054,15712564,765,0,1,86,7,161164.0,1,1,0,91673.0,1.7580120863058228,0.125,3,0.275,3,0,0,2,10.75,1,5000.0,0
1055,10004517,403,0,1,68,7,70547.3,2,0,1,126317.25,0.558488579441213,0.25,3,0.65,0,0,0,2,8.5,0,5000.0,0
1056,18891997,302,1,0,61,9,0.0,1,1,0,190425.41,0.0,0.1,3,0.275,0,1,0,2,6.1,0,5000.0,0
1057,15006727,579,2,1,90,1,67404.69,2,0,1,114666.33,0.5878281983194341,1.0,3,0.65,0,0,0,0,45.0,0,5000.0,0
1058,14882069,514,0,1,34,9,0.0,2,0,0,171253.23,0.0,0.2,1,0.15,0,1,0,2,3.4,0,5000.0,0
1059,11235493,369,1,0,76,3,191746.39,1,0,1,73655.34,2.6032570991173336,0.25,3,0.575,0,0,0,1,19.0,0,3289.93,0
1060,18089717,847,1,1,33,2,0.0,1,1,1,62959.42,0.0,0.3333333333333333,1,0.775,4,1,0,0,11.0,0,2629.48,0
1061,13172284,321,2,1,18,7,18675.34,4,0,0,25065.63,0.7450279515036524,0.5,0,0.3,0,0,0,2,2.25,0,2111.73,0
1062,12544090,624,1,0,36,10,119297.55,1,1,0,120913.14,0.9866302650790056,0.09090909090909091,1,0.275,1,0,0,2,3.272727272727273,1,5000.0,1
1063,16125260,443,0,1,55,0,240081.07,1,1,1,149982.36,1.6007180396545326,1.0,2,0.775,0,0,0,0,55.0,0,5000.0,0
1064,13928556,463,1,1,22,10,226491.27,1,0,0,129450.31,1.7496251679492467,0.09090909090909091,0,0.075,0,0,0,2,2.0,1,5000.0,1
1065,17409334,416,0,1,38,3,0.0,1,0,1,171567.62,0.0,0.25,1,0.575,0,1,0,1,9.5,0,5000.0,0
1066,13605136,514,2,1,21,10,74534.64,1,1,0,50070.55,1.488562666823775,0.09090909090909091,0,0.275,0,0,0,2,1.9090909090909092,1,3245.43,0
1067,18047383,667,0,0,36,0,10430.89,1,0,1,136356.41,0.07649668617202394,1.0,1,0.575,1,0,0,0,36.0,0,4909.14,0
1068,13517747,477,1,1,71,6,0.0,1,0,0,104197.26,0.0,0.14285714285714285,3,0.075,0,1,0,2,10.142857142857142,0,5000.0,1
1069,12243936,697,0,1,29,5,96737.5,1,1,0,70042.53,1.381105435434222,0.16666666666666666,0,0.275,2,0,0,1,4.833333333333333,1,3531.33,0
1070,15190213,546,0,1,37,9,0.0,2,1,0,102593.62,0.0,0.2,1,0.35,0,1,0,2,3.7,0,5000.0,0
1071,15739864,732,2,0,28,5,22294.37,2,0,0,147087.05,0.15157159266167441,0.3333333333333333,0,0.15,2,0,0,1,4.666666666666667,0,5000.0,0
1072,10168883,544,1,1,46,0,231227.74,2,0,1,179241.02,1.2900308755725918,2.0,2,0.65,0,0,1,0,46.0,0,5000.0,0
1073,16990814,501,0,0,75,2,185285.58,2,0,1,124091.65,1.4931229206564611,0.6666666666666666,3,0.65,0,0,0,0,25.0,0,5000.0,1
1074,16097263,579,2,1,58,2,242894.59,1,0,1,135964.21,1.7864466211613987,0.3333333333333333,2,0.575,0,0,0,0,19.333333333333332,0,5000.0,0
1075,15532682,678,2,0,33,9,0.0,1,1,1,187497.24,0.0,0.1,1,0.775,2,1,0,2,3.3,0,5000.0,1
1076,11156158,555,0,1,42,1,110405.96,2,1,0,150660.82,0.7328064933770215,1.0,1,0.35,0,0,0,0,21.0,1,5000.0,1
1077,17530834,799,1,1,68,9,167311.73,1,1,0,52001.0,3.2174095227106654,0.1,3,0.275,3,0,0,2,6.8,1,3221.85,1
1078,12536743,584,0,1,53,5,212179.21,1,1,1,155685.32,1.362863545107881,0.16666666666666666,2,0.775,1,0,1,1,8.833333333333334,0,5000.0,0
1079,19868347,463,1,1,52,6,0.0,1,0,1,34386.96,0.0,0.14285714285714285,2,0.575,0,1,0,2,7.428571428571429,0,1832.23,1
1080,15735830,315,0,0,82,10,7359.36,1,1,0,35487.4,0.2073736770324951,0.09090909090909091,3,0.275,0,0,0,2,7.454545454545454,0,2299.67,1
1081,15286402,516,0,0,79,8,80357.93,1,1,1,190671.94,0.4214438084397293,0.1111111111111111,3,0.775,0,0,0,2,8.777777777777779,0,5000.0,0
1082,19466765,329,2,0,36,7,0.0,2,0,0,31294.41,0.0,0.25,1,0.15,0,1,0,2,4.5,0,2050.43,1
1083,11775943,319,2,1,70,9,158019.78,2,1,1,167413.02,0.9438861810976166,0.2,3,0.85,0,0,1,2,7.0,0,5000.0,0
1084,18013731,504,2,0,77,5,69538.96,1,1,0,138411.09,0.5024052450909455,0.16666666666666666,3,0.275,0,0,0,1,12.833333333333334,1,5000.0,0
1085,19054293,459,2,1,85,10,113304.63,2,0,1,153465.44,0.7383023285090864,0.18181818181818182,3,0.65,0,0,0,2,7.7272727272727275,0,5000.0,0
1086,12801418,787,1,0,37,8,0.0,2,0,1,116591.7,0.0,0.2222222222222222,1,0.65,3,1,0,2,4.111111111111111,0,5000.0,0
1087,11692612,702,2,0,72,10,0.0,1,1,1,154049.78,0.0,0.09090909090909091,3,0.775,2,1,0,2,6.545454545454546,0,5000.0,0
1088,19912299,735,2,0,32,6,60599.15,2,0,0,191383.81,0.3166351080840742,0.2857142857142857,1,0.15,2,0,0,2,4.571428571428571,1,5000.0,0
1089,13337311,600,0,0,51,7,0.0,1,0,0,150988.82,0.0,0.125,2,0.075,1,1,0,2,6.375,0,5000.0,0
1090,10541535,360,0,0,23,5,0.0,2,0,0,70776.61,0.0,0.3333333333333333,0,0.15,0,1,0,1,3.8333333333333335,0,4161.7,0
1091,18832998,768,0,0,63,10,105342.75,1,1,1,179886.84,0.5856023953592416,0.09090909090909091,3,0.775,3,0,0,2,5.7272727272727275,0,5000.0,0
1092,10216902,572,1,1,69,6,0.0,1,0,1,100936.1,0.0,0.14285714285714285,3,0.575,0,1,0,2,9.857142857142858,0,5000.0,0
1093,19246211,536,0,0,51,1,7446.06,2,1,1,40232.79,0.18506981320924526,1.0,2,0.85,0,0,0,0,25.5,0,1825.16,0
1094,11944112,633,0,1,48,5,179001.34,2,1,0,181986.62,0.9835907519423575,0.3333333333333333,2,0.35,1,0,1,1,8.0,1,5000.0,0
1095,17416802,390,1,1,36,1,218643.27,1,1,0,88565.64,2.468686516729098,0.5,1,0.275,0,0,0,0,18.0,1,3445.67,0
1096,13620302,565,0,0,75,7,0.0,2,0,1,57262.65,0.0,0.25,3,0.65,0,1,0,2,9.375,0,3751.99,1
1097,10446380,633,0,1,86,7,0.0,2,0,1,131565.7,0.0,0.25,3,0.65,1,1,0,2,10.75,0,5000.0,0
1098,18738580,684,2,0,27,8,41510.47,2,0,0,199140.89,0.20844670099294527,0.2222222222222222,0,0.15,2,0,0,2,3.0,0,5000.0,0
1099,17010228,575,2,1,38,1,211314.2,2,0,0,170288.89,1.2409086646306484,1.0,1,0.15,0,0,1,0,19.0,1,5000.0,1
1100,18412206,849,0,1,63,5,137766.67,2,0,0,57681.73,2.3883521116285586,0.3333333333333333,3,0.15,4,0,0,1,10.5,1,3393.36,1
1101,19380908,845,0,0,45,3,95689.05,1,0,0,145419.71,0.6580152854431808,0.25,1,0.075,4,0,0,1,11.25,1,5000.0,1
1102,15422295,353,0,1,18,4,235609.41,1,0,1,58352.2,4.0376433511786844,0.2,0,0.575,0,0,0,1,3.6,0,2775.28,0
1103,12646098,345,2,0,19,10,155027.71,2,0,0,107340.81,1.4442434872301855,0.18181818181818182,0,0.15,0,0,0,2,1.7272727272727273,1,5000.0,0
1104,14224656,584,2,0,35,6,14470.65,1,1,0,36701.37,0.39427017928270025,0.14285714285714285,1,0.275,1,0,0,2,5.0,0,1955.75,0
1105,19233266,756,0,0,90,4,0.0,2,1,0,64851.47,0.0,0.4,3,0.35,3,1,0,1,18.0,0,3595.61,0
1106,10762197,582,2,1,63,9,49687.7,1,1,1,198190.59,0.250705390677778,0.1,3,0.775,1,0,0,2,6.3,0,5000.0,0
1107,10246970,419,0,0,37,5,0.0,1,0,1,96471.4,0.0,0.16666666666666666,1,0.575,0,1,0,1,6.166666666666667,0,4862.22,0
1108,12569640,609,0,1,22,4,45781.72,1,1,0,150973.36,0.30324168951602115,0.2,0,0.275,1,0,0,1,4.4,0,5000.0,0
1109,16413732,819,2,1,74,5,124476.21,1,1,1,93284.93,1.3343513861093523,0.16666666666666666,3,0.775,4,0,0,1,12.333333333333334,0,4703.09,0
1110,15167086,391,0,1,46,9,133031.58,2,1,1,10334.88,12.870851828775102,0.2,2,0.85,0,0,0,2,4.6,0,747.97,0
1111,17412873,545,0,1,47,4,0.0,1,1,1,134310.14,0.0,0.2,2,0.775,0,1,0,1,9.4,0,5000.0,1
1112,11735763,651,0,1,60,6,135657.16,2,1,1,89636.36,1.513399769917365,0.2857142857142857,2,0.85,1,0,0,2,8.571428571428571,0,5000.0,0
1113,13851494,516,1,1,35,1,112566.24,2,0,1,59671.84,1.8863898550831502,1.0,1,0.65,0,0,0,0,17.5,0,2707.96,1
1114,16397890,324,2,1,72,0,179643.83,1,1,0,47178.87,3.8076372402043495,1.0,3,0.275,0,0,0,0,72.0,1,1700.25,0
1115,10078132,668,2,0,41,0,43112.14,2,1,0,102351.4,0.4212127903205006,2.0,1,0.35,1,0,0,0,41.0,0,4299.39,0
1116,18103218,708,0,1,70,5,197881.3,2,0,1,180542.25,1.0960326680726087,0.3333333333333333,3,0.65,2,0,1,1,11.666666666666666,0,5000.0,0
1117,18014196,660,0,1,56,7,14175.45,1,0,1,74807.19,0.18949061593389707,0.125,2,0.575,1,0,0,2,7.0,0,4201.51,0
1118,11293485,665,2,1,29,2,0.0,1,0,0,117427.72,0.0,0.3333333333333333,0,0.075,1,1,0,0,9.666666666666666,0,4903.98,0
1119,15416477,661,0,1,64,10,188708.08,1,1,0,19754.01,9.552416323757873,0.09090909090909091,3,0.275,1,0,0,2,5.818181818181818,1,1282.14,0
1120,15677889,482,2,0,23,1,199872.93,3,1,1,147240.43,1.3574503453273987,1.5,0,0.925,0,0,0,0,11.5,0,5000.0,0
1121,18869911,309,1,0,71,7,77747.68,3,1,0,158737.74,0.48978390530251154,0.375,3,0.425,0,0,0,2,8.875,1,5000.0,1
1122,14335965,844,0,0,46,2,213178.41,2,1,0,81716.21,2.6087333378121937,0.6666666666666666,2,0.35,4,0,0,0,15.333333333333334,1,3983.64,1
1123,11374701,412,2,0,68,0,174333.65,1,1,1,93492.82,1.8646542627095564,1.0,3,0.775,0,0,0,0,68.0,0,3367.55,0
1124,14851472,756,0,1,36,7,0.0,2,0,0,23172.06,0.0,0.25,1,0.15,3,1,0,2,4.5,0,1518.48,0
1125,12126153,597,0,0,48,5,9902.73,1,1,1,184903.83,0.053555821121600775,0.16666666666666666,2,0.775,1,0,0,1,8.0,0,5000.0,0
1126,10741933,597,1,1,40,6,198677.98,2,0,1,114681.66,1.732415170697994,0.2857142857142857,1,0.65,1,0,0,2,5.714285714285714,0,5000.0,0
1127,17555814,311,1,1,36,10,0.0,2,1,1,36540.42,0.0,0.18181818181818182,1,0.85,0,1,0,2,3.272727272727273,0,2762.46,0
1128,16711487,845,1,1,43,5,247314.22,1,0,1,151364.69,1.6338855919065938,0.16666666666666666,1,0.575,4,0,0,1,7.166666666666667,0,5000.0,0
1129,16503010,591,1,1,22,9,113545.13,2,0,0,157929.22,0.7189575877245027,0.2,0,0.15,1,0,0,2,2.2,1,5000.0,1
1130,16604439,757,2,0,47,5,73515.58,1,0,1,48251.21,1.5235691795256632,0.16666666666666666,2,0.575,3,0,0,1,7.833333333333333,0,2432.85,0
1131,17108918,728,2,1,27,3,0.0,2,1,1,96160.18,0.0,0.5,0,0.85,2,1,0,1,6.75,0,5000.0,0
1132,13152439,376,1,1,56,4,84795.03,2,1,0,94236.5,0.8998013529645842,0.4,2,0.35,0,0,0,1,11.2,1,5000.0,1
1133,18718621,822,0,1,24,3,177183.1,1,1,1,80809.25,2.192582005376793,0.25,0,0.775,4,0,0,1,6.0,0,3609.38,0
1134,14312824,625,1,0,18,9,86302.76,2,0,0,174310.26,0.4951072007625898,0.2,0,0.15,1,0,0,2,1.8,1,5000.0,0
1135,11832407,402,2,0,50,5,236701.97,1,1,1,144348.47,1.6397841294464053,0.16666666666666666,2,0.775,0,0,0,1,8.333333333333334,0,5000.0,0
1136,18570846,620,0,0,40,10,133894.59,1,0,1,177891.75,0.7526703027526417,0.09090909090909091,1,0.575,1,0,0,2,3.6363636363636362,0,5000.0,0
1137,16514826,639,0,0,83,2,83348.81,1,0,1,110687.26,0.7530049708975459,0.3333333333333333,3,0.575,1,0,0,0,27.666666666666668,0,4623.32,0
1138,14272207,659,0,0,37,8,0.0,2,0,1,163781.51,0.0,0.2222222222222222,1,0.65,1,1,0,2,4.111111111111111,0,5000.0,0
1139,14180847,477,0,1,47,1,20306.14,2,0,1,54994.77,0.3692309426706818,1.0,2,0.65,0,0,0,0,23.5,0,2494.86,0
1140,19747835,818,1,1,35,3,0.0,2,1,1,63117.57,0.0,0.5,1,0.85,4,1,0,1,8.75,0,3287.45,0
1141,11107656,430,0,1,84,0,209995.47,1,1,0,103789.83,2.023256486146223,1.0,3,0.275,0,0,0,0,84.0,1,3738.6,1
1142,19287752,571,2,1,77,10,84236.42,1,1,1,103320.41,0.8152852346865959,0.09090909090909091,3,0.775,0,0,0,2,7.0,0,5000.0,0
1143,10533687,762,2,0,30,3,48255.96,1,1,1,18261.21,2.6423943213882657,0.25,0,0.775,3,0,0,1,7.5,0,815.91,0
1144,19562953,342,2,1,36,9,148852.85,1,0,1,121276.61,1.227372884409579,0.1,1,0.575,0,0,0,2,3.6,0,5000.0,0
1145,14565030,522,0,1,31,4,0.0,2,1,0,12962.57,0.0,0.4,1,0.35,0,1,0,1,6.2,0,718.77,0
1146,10063719,564,0,0,29,1,246859.9,1,0,1,46670.54,5.289302645680858,0.5,0,0.575,0,0,0,0,14.5,0,1817.16,0
1147,18619411,725,1,1,36,3,206047.22,1,0,0,69680.09,2.957003399344069,0.25,1,0.075,2,0,0,1,9.0,1,3112.81,0
1148,18748751,734,2,1,81,3,222847.93,1,0,0,169175.91,1.317247903392963,0.25,3,0.075,2,0,1,1,20.25,1,5000.0,1
1149,12642556,739,0,1,52,5,209228.68,2,1,1,47229.58,4.429940940805723,0.3333333333333333,2,0.85,2,0,0,1,8.666666666666666,0,2779.43,0
1150,15729184,497,2,0,46,3,0.0,1,1,0,84239.74,0.0,0.25,2,0.275,0,1,0,1,11.5,0,3760.57,0
1151,12372609,570,0,1,32,7,0.0,2,0,0,132811.1,0.0,0.25,1,0.15,0,1,0,2,4.0,0,5000.0,0
1152,10596634,314,2,1,31,8,169985.98,1,0,1,38430.19,4.423125591479213,0.1111111111111111,1,0.575,0,0,0,2,3.4444444444444446,0,2270.63,0
1153,10052987,753,0,1,59,1,227210.75,2,1,0,24056.12,9.444636348823135,1.0,2,0.35,3,0,0,0,29.5,1,1093.7,0
1154,15878274,467,0,0,74,5,0.0,2,1,1,11333.89,0.0,0.3333333333333333,3,0.85,0,1,0,1,12.333333333333334,0,666.52,0
1155,12214392,557,1,1,59,6,249302.95,1,0,1,192902.41,1.2923719181532354,0.14285714285714285,2,0.575,0,0,1,2,8.428571428571429,0,5000.0,0
1156,17793642,675,0,1,67,2,0.0,1,0,0,17512.47,0.0,0.3333333333333333,3,0.075,2,1,0,0,22.333333333333332,0,731.53,0
1157,13591266,727,0,0,37,8,0.0,1,1,1,133983.44,0.0,0.1111111111111111,1,0.775,2,1,0,2,4.111111111111111,0,5000.0,0
1158,14552656,347,0,0,88,2,127908.0,2,1,1,10802.89,11.839069076045758,0.6666666666666666,3,0.85,0,0,0,0,29.333333333333332,0,527.62,0
1159,14478650,722,0,1,79,9,72507.4,2,1,1,167062.64,0.43401065605897243,0.2,3,0.85,2,0,0,2,7.9,0,5000.0,0
1160,17784709,507,2,1,83,5,0.0,2,1,0,137238.27,0.0,0.3333333333333333,3,0.35,0,1,0,1,13.833333333333334,0,5000.0,0
1161,15824232,530,0,1,68,4,234625.64,1,0,0,196162.28,1.1960731896407932,0.2,3,0.075,0,0,1,1,13.6,1,5000.0,0
1162,18466557,373,1,0,70,7,143821.25,2,1,0,187866.62,0.7655457071314365,0.25,3,0.35,0,0,0,2,8.75,1,5000.0,1
1163,14443388,694,2,1,23,6,19244.43,2,0,1,193391.47,0.09950971720874137,0.2857142857142857,0,0.65,2,0,0,2,3.2857142857142856,0,5000.0,0
1164,14517965,562,0,0,30,5,89936.52,1,0,0,24577.3,3.6591839142658364,0.16666666666666666,0,0.075,0,0,0,1,5.0,1,1239.74,0
1165,12991397,357,0,0,27,7,51201.07,1,1,1,121222.12,0.4223705016006848,0.125,0,0.775,0,0,0,2,3.375,0,5000.0,0
1166,15532779,377,2,0,54,2,0.0,1,0,0,151851.3,0.0,0.3333333333333333,2,0.075,0,1,0,0,18.0,0,5000.0,0
1167,19480576,697,2,1,62,8,246285.68,1,1,1,33497.39,7.352164686123721,0.1111111111111111,3,0.775,2,0,0,2,6.888888888888889,0,1980.37,0
1168,17426029,360,1,0,26,6,89098.95,3,0,0,49783.6,1.7896889801263844,0.42857142857142855,0,0.225,0,0,0,2,3.7142857142857144,1,3537.55,1
1169,19687716,587,2,0,74,2,0.0,2,1,1,87551.89,0.0,0.6666666666666666,3,0.85,1,1,0,0,24.666666666666668,0,4265.68,0
1170,10005297,684,0,0,59,10,0.0,2,0,0,171381.15,0.0,0.18181818181818182,2,0.15,2,1,0,2,5.363636363636363,0,5000.0,0
1171,14245704,802,0,1,62,9,0.0,1,0,1,165061.09,0.0,0.1,3,0.575,4,1,0,2,6.2,0,5000.0,0
1172,18148259,387,1,0,86,1,41634.05,1,0,1,165101.34,0.25217116850070087,0.5,3,0.575,0,0,0,0,43.0,0,5000.0,1
1173,16771705,463,0,0,61,8,63173.98,1,0,1,62267.42,1.0145428453138847,0.1111111111111111,3,0.575,0,0,0,2,6.777777777777778,0,3676.99,0
1174,11012901,385,2,0,18,5,0.0,2,1,0,155468.3,0.0,0.3333333333333333,0,0.35,0,1,0,1,3.0,0,5000.0,0
1175,15939945,784,1,0,75,8,77833.41,1,1,1,27980.6,2.7815925465305775,0.1111111111111111,3,0.775,3,0,0,2,8.333333333333334,0,1653.02,0
1176,16842732,626,2,1,83,4,16467.47,1,1,1,190199.8,0.08657939398782762,0.2,3,0.775,1,0,0,1,16.6,0,5000.0,0
1177,10366986,841,0,1,24,2,0.0,2,1,0,104280.51,0.0,0.6666666666666666,0,0.35,4,1,0,0,8.0,0,5000.0,1
1178,12900765,324,0,0,58,2,186527.86,1,0,0,146220.68,1.275651189344836,0.3333333333333333,2,0.075,0,0,0,0,19.333333333333332,1,5000.0,1
1179,19795452,688,0,0,53,0,0.0,2,1,1,195004.88,0.0,2.0,2,0.85,2,1,0,0,53.0,0,5000.0,0
1180,19528832,318,0,0,29,9,0.0,2,1,0,88824.71,0.0,0.2,0,0.35,0,1,0,2,2.9,0,5000.0,0
1181,17831470,360,2,1,38,3,138668.67,2,1,0,67673.91,2.0490410700213713,0.5,1,0.35,0,0,0,1,9.5,1,3525.88,0
1182,19818446,537,0,1,82,10,29296.6,2,0,0,69933.51,0.4189147818437564,0.18181818181818182,3,0.15,0,0,0,2,7.454545454545454,0,5000.0,1
1183,12657599,502,0,0,47,2,0.0,1,1,0,27601.85,0.0,0.3333333333333333,2,0.275,0,1,0,0,15.666666666666666,0,1152.76,0
1184,11564359,501,0,0,58,3,0.0,1,0,1,138557.21,0.0,0.25,2,0.575,0,1,0,1,14.5,0,5000.0,0
1185,18532290,337,0,1,76,9,124726.39,1,0,1,199252.44,0.6259685654611534,0.1,3,0.575,0,0,0,2,7.6,0,5000.0,0
1186,15863111,600,2,1,51,3,158823.58,2,0,0,175873.88,0.9030486900687579,0.5,2,0.15,1,0,1,1,12.75,1,5000.0,0
1187,18948085,487,0,0,84,8,78836.68,1,1,0,193708.22,0.4069846546282102,0.1111111111111111,3,0.275,0,0,0,2,9.333333333333334,1,5000.0,0
1188,10218032,847,2,1,55,1,36145.55,2,0,1,50060.72,0.7220197388343829,1.0,2,0.65,4,0,0,0,27.5,0,2271.41,0
1189,13095823,735,0,1,91,10,70958.59,1,0,0,23196.24,3.058923820247581,0.09090909090909091,3,0.075,2,0,0,2,8.272727272727273,1,1504.06,0
1190,19533894,539,1,1,29,6,14845.75,2,1,0,62435.8,0.23777243548676422,0.2857142857142857,0,0.35,0,0,0,2,4.142857142857143,0,3881.29,0
1191,19132365,721,0,1,84,8,0.0,2,1,1,125765.36,0.0,0.2222222222222222,3,0.85,2,1,0,2,9.333333333333334,0,5000.0,0
1192,19686043,617,0,1,26,0,176331.1,1,0,0,149117.6,1.1824889718653475,1.0,0,0.075,1,0,0,0,26.0,1,5000.0,1
1193,10222854,572,2,0,78,10,0.0,2,1,1,158675.29,0.0,0.18181818181818182,3,0.85,0,1,0,2,7.090909090909091,0,5000.0,0
1194,14509902,806,2,0,67,5,156356.15,2,0,0,18855.36,8.291958257054914,0.3333333333333333,3,0.15,4,0,0,1,11.166666666666666,1,1110.53,1
1195,16256566,623,2,0,59,2,0.0,1,1,1,125331.6,0.0,0.3333333333333333,2,0.775,1,1,0,0,19.666666666666668,0,5000.0,0
1196,13319674,566,0,0,84,1,0.0,1,1,0,60361.82,0.0,0.5,3,0.275,0,1,0,0,42.0,0,2347.01,0
1197,18545684,612,0,1,66,0,151758.76,2,1,1,59892.42,2.5338135641611386,2.0,3,0.85,1,0,0,0,66.0,0,2517.17,0
1198,16287129,730,1,1,70,7,184480.97,2,0,0,158899.69,1.1609828125982335,0.25,3,0.15,2,0,1,2,8.75,1,5000.0,1
